Period,Period Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Median time in port (days) Missing value,Average age of vessels (years),Average age of vessels (years) Footnote,Average age of vessels (years) Missing value,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Average size (GT) of vessels Missing value,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Average cargo carrying capacity (dwt) per vessel Missing value,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Average container carrying capacity (TEU) per container ship Missing value,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Maximum size (GT) of vessels Missing value,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Maximum cargo carrying capacity (dwt) of vessels Missing value,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote,Maximum container carrying capacity (TEU) of container ships Missing value
2021S01,"S1   2021",392,"Japan",05,"Dry bulk carriers",0.9035,,,14,,,17113,,,29676,,,,,"Not available or not separately reported",161294,,,327017,,,,,"Not available or not separately reported"
2021S01,"S1   2021",392,"Japan",04,"Dry breakbulk carriers",1.1951,,,15,,,6764,,,8990,,,,,"Not available or not separately reported",50000,,,80344,,,,,"Not available or not separately reported"
2021S01,"S1   2021",392,"Japan",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",12,,,17518,,,7586,,,,,"Not available or not separately reported",76420,,,43878,,,,,"Not available or not separately reported"
2021S01,"S1   2021",392,"Japan",03,"Container ships",0.3562,,,13,,,16418,,,,,"Not available or not separately reported",1571,,,228741,,,,,"Not available or not separately reported",21237,,
2021S01,"S1   2021",392,"Japan",01,"Passenger ships",,,"Not available or not separately reported",16,,,4806,,,,,"Not available or not separately reported",,,"Not available or not separately reported",50444,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021S01,"S1   2021",410,"Korea, Republic of",00,"All ships",0.9,,,15,,,20044,,,21638,,,3027,,,237200,,,326932,,,23964,,
2021S01,"S1   2021",410,"Korea, Republic of",02,"Liquid bulk carriers",0.7667,,,13,,,13690,,,23588,,,,,"Not available or not separately reported",170618,,,322861,,,,,"Not available or not separately reported"
2021S01,"S1   2021",410,"Korea, Republic of",07,"Liquefied petroleum gas carriers",0.8424,,,16,,,7727,,,8525,,,,,"Not available or not separately reported",60000,,,60000,,,,,"Not available or not separately reported"
2021S01,"S1   2021",410,"Korea, Republic of",08,"Liquefied natural gas carriers",1.0389,,,13,,,104880,,,82835,,,,,"Not available or not separately reported",168189,,,154940,,,,,"Not available or not separately reported"
2021S01,"S1   2021",410,"Korea, Republic of",05,"Dry bulk carriers",2.0924,,,14,,,28651,,,51554,,,,,"Not available or not separately reported",172521,,,326932,,,,,"Not available or not separately reported"
2021S01,"S1   2021",410,"Korea, Republic of",04,"Dry breakbulk carriers",1.2167,,,19,,,5324,,,7506,,,,,"Not available or not separately reported",91784,,,116173,,,,,"Not available or not separately reported"
2021S01,"S1   2021",410,"Korea, Republic of",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",20,,,27314,,,11155,,,,,"Not available or not separately reported",76420,,,43878,,,,,"Not available or not separately reported"
2021S01,"S1   2021",410,"Korea, Republic of",03,"Container ships",0.6951,,,14,,,32390,,,,,"Not available or not separately reported",3027,,,237200,,,,,"Not available or not separately reported",23964,,
2021S01,"S1   2021",410,"Korea, Republic of",01,"Passenger ships",,,"Not available or not separately reported",14,,,16282,,,,,"Not available or not separately reported",,,"Not available or not separately reported",35187,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021S01,"S1   2021",528,"Netherlands (Kingdom of the)",00,"All ships",0.6104,,,17,,,12855,,,13943,,,2812,,,237200,,,324272,,,23964,,
2021S01,"S1   2021",528,"Netherlands (Kingdom of the)",02,"Liquid bulk carriers",0.5326,,,17,,,9113,,,16885,,,,,"Not available or not separately reported",164364,,,320106,,,,,"Not available or not separately reported"
2021S01,"S1   2021",528,"Netherlands (Kingdom of the)",07,"Liquefied petroleum gas carriers",0.9132,,,15,,,6625,,,7230,,,,,"Not available or not separately reported",48022,,,58691,,,,,"Not available or not separately reported"
2021S01,"S1   2021",528,"Netherlands (Kingdom of the)",08,"Liquefied natural gas carriers",1.0118,,,6,,,56092,,,43840,,,,,"Not available or not separately reported",128975,,,99000,,,,,"Not available or not separately reported"
2021S01,"S1   2021",528,"Netherlands (Kingdom of the)",05,"Dry bulk carriers",1.0354,,,11,,,35794,,,63563,,,,,"Not available or not separately reported",173504,,,324272,,,,,"Not available or not separately reported"
2021S01,"S1   2021",528,"Netherlands (Kingdom of the)",04,"Dry breakbulk carriers",0.4812,,,20,,,4019,,,5374,,,,,"Not available or not separately reported",49091,,,63581,,,,,"Not available or not separately reported"
2021S01,"S1   2021",528,"Netherlands (Kingdom of the)",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",22,,,16239,,,6381,,,,,"Not available or not separately reported",76420,,,48988,,,,,"Not available or not separately reported"
2021S01,"S1   2021",528,"Netherlands (Kingdom of the)",03,"Container ships",0.8806,,,15,,,30474,,,,,"Not available or not separately reported",2812,,,237200,,,,,"Not available or not separately reported",23964,,
2021S01,"S1   2021",528,"Netherlands (Kingdom of the)",01,"Passenger ships",,,"Not available or not separately reported",15,,,15322,,,,,"Not available or not separately reported",,,"Not available or not separately reported",164998,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021S01,"S1   2021",579,"Norway",00,"All ships",0.4111,,,14,,,3829,,,7433,,,840,,,167054,,,323183,,,2668,,
2021S01,"S1   2021",579,"Norway",02,"Liquid bulk carriers",0.6125,,,15,,,12908,,,21000,,,,,"Not available or not separately reported",167054,,,323183,,,,,"Not available or not separately reported"
2021S01,"S1   2021",579,"Norway",07,"Liquefied petroleum gas carriers",0.8101,,,10,,,10660,,,11814,,,,,"Not available or not separately reported",37366,,,42543,,,,,"Not available or not separately reported"
2021S01,"S1   2021",579,"Norway",08,"Liquefied natural gas carriers",0.2931,,,15,,,6275,,,5048,,,,,"Not available or not separately reported",128806,,,96844,,,,,"Not available or not separately reported"
2021S01,"S1   2021",579,"Norway",05,"Dry bulk carriers",0.8847,,,16,,,18954,,,31717,,,,,"Not available or not separately reported",109716,,,211182,,,,,"Not available or not separately reported"
2021S01,"S1   2021",579,"Norway",04,"Dry breakbulk carriers",0.3125,,,24,,,2772,,,3280,,,,,"Not available or not separately reported",49091,,,63581,,,,,"Not available or not separately reported"
2021S01,"S1   2021",579,"Norway",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",18,,,11326,,,7074,,,,,"Not available or not separately reported",70853,,,27343,,,,,"Not available or not separately reported"
2021S01,"S1   2021",579,"Norway",03,"Container ships",0.3493,,,16,,,8941,,,,,"Not available or not separately reported",840,,,37071,,,,,"Not available or not separately reported",2668,,
2021S01,"S1   2021",579,"Norway",01,"Passenger ships",,,"Not available or not separately reported",13,,,3643,,,,,"Not available or not separately reported",,,"Not available or not separately reported",75156,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021S01,"S1   2021",608,"Philippines",00,"All ships",0.9972,,,19,,,7779,,,12208,,,1698,,,172521,,,326964,,,5303,,
2021S01,"S1   2021",608,"Philippines",02,"Liquid bulk carriers",0.9021,,,13,,,8108,,,12894,,,,,"Not available or not separately reported",63704,,,109999,,,,,"Not available or not separately reported"
2021S01,"S1   2021",608,"Philippines",07,"Liquefied petroleum gas carriers",0.8976,,,13,,,7976,,,8919,,,,,"Not available or not separately reported",49231,,,58560,,,,,"Not available or not separately reported"
2021S01,"S1   2021",608,"Philippines",05,"Dry bulk carriers",4.0347,,,13,,,27180,,,47717,,,,,"Not available or not separately reported",172521,,,326964,,,,,"Not available or not separately reported"
2021S01,"S1   2021",608,"Philippines",04,"Dry breakbulk carriers",0.9465,,,20,,,4112,,,5440,,,,,"Not available or not separately reported",38889,,,72562,,,,,"Not available or not separately reported"
2021S01,"S1   2021",608,"Philippines",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",28,,,18150,,,7900,,,,,"Not available or not separately reported",72635,,,27200,,,,,"Not available or not separately reported"
2021S01,"S1   2021",608,"Philippines",03,"Container ships",0.9312,,,16,,,18250,,,,,"Not available or not separately reported",1698,,,54214,,,,,"Not available or not separately reported",5303,,
2021S01,"S1   2021",608,"Philippines",01,"Passenger ships",,,"Not available or not separately reported",22,,,3473,,,,,"Not available or not separately reported",,,"Not available or not separately reported",169116,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021S01,"S1   2021",643,"Russian Federation",00,"All ships",1.509,,,26,,,12216,,,17935,,,1531,,,136716,,,182588,,,7455,,
2021S01,"S1   2021",643,"Russian Federation",02,"Liquid bulk carriers",1.1493,,,24,,,13682,,,23154,,,,,"Not available or not separately reported",87146,,,166300,,,,,"Not available or not separately reported"
2021S01,"S1   2021",643,"Russian Federation",07,"Liquefied petroleum gas carriers",1.6014,,,14,,,8763,,,10259,,,,,"Not available or not separately reported",18425,,,22911,,,,,"Not available or not separately reported"
2021S01,"S1   2021",643,"Russian Federation",08,"Liquefied natural gas carriers",1.1187,,,9,,,98650,,,72195,,,,,"Not available or not separately reported",136716,,,97000,,,,,"Not available or not separately reported"
2021S01,"S1   2021",643,"Russian Federation",05,"Dry bulk carriers",2.5472,,,15,,,27530,,,48073,,,,,"Not available or not separately reported",94710,,,182588,,,,,"Not available or not separately reported"
2021S01,"S1   2021",643,"Russian Federation",04,"Dry breakbulk carriers",1.8573,,,32,,,4216,,,5494,,,,,"Not available or not separately reported",40328,,,62041,,,,,"Not available or not separately reported"
2021S01,"S1   2021",643,"Russian Federation",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",32,,,13317,,,6469,,,,,"Not available or not separately reported",43810,,,22910,,,,,"Not available or not separately reported"
2021S01,"S1   2021",643,"Russian Federation",03,"Container ships",1.4118,,,16,,,16877,,,,,"Not available or not separately reported",1531,,,85676,,,,,"Not available or not separately reported",7455,,
2021S01,"S1   2021",643,"Russian Federation",01,"Passenger ships",,,"Not available or not separately reported",37,,,7219,,,,,"Not available or not separately reported",,,"Not available or not separately reported",12288,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021S01,"S1   2021",702,"Singapore",00,"All ships",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable"
2021S01,"S1   2021",702,"Singapore",02,"Liquid bulk carriers",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2021S01,"S1   2021",702,"Singapore",07,"Liquefied petroleum gas carriers",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2021S01,"S1   2021",702,"Singapore",08,"Liquefied natural gas carriers",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2021S01,"S1   2021",702,"Singapore",05,"Dry bulk carriers",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2021S01,"S1   2021",702,"Singapore",04,"Dry breakbulk carriers",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2021S01,"S1   2021",702,"Singapore",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported"
2021S01,"S1   2021",702,"Singapore",03,"Container ships",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not publishable"
2021S01,"S1   2021",702,"Singapore",01,"Passenger ships",,,"Not available or not separately reported",,,"Not publishable",,,"Not publishable",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not publishable",,,"Not available or not separately reported",,,"Not available or not separately reported"
2021S01,"S1   2021",724,"Spain",00,"All ships",0.9021,,,17,,,15586,,,14952,,,3004,,,237200,,,211182,,,23756,,
2021S01,"S1   2021",724,"Spain",02,"Liquid bulk carriers",0.9174,,,13,,,10523,,,17148,,,,,"Not available or not separately reported",88704,,,164733,,,,,"Not available or not separately reported"
2021S01,"S1   2021",724,"Spain",07,"Liquefied petroleum gas carriers",1.0361,,,12,,,6888,,,7804,,,,,"Not available or not separately reported",48022,,,58691,,,,,"Not available or not separately reported"
2021S01,"S1   2021",724,"Spain",08,"Liquefied natural gas carriers",1.0184,,,12,,,95587,,,74060,,,,,"Not available or not separately reported",136980,,,121957,,,,,"Not available or not separately reported"
2021S01,"S1   2021",724,"Spain",05,"Dry bulk carriers",1.7694,,,16,,,22935,,,39717,,,,,"Not available or not separately reported",109716,,,211182,,,,,"Not available or not separately reported"
2021S01,"S1   2021",724,"Spain",04,"Dry breakbulk carriers",1.1653,,,17,,,5063,,,7093,,,,,"Not available or not separately reported",66870,,,71955,,,,,"Not available or not separately reported"
2021S01,"S1   2021",724,"Spain",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",20,,,30279,,,11772,,,,,"Not available or not separately reported",76420,,,48988,,,,,"Not available or not separately reported"
2021S01,"S1   2021",724,"Spain",03,"Container ships",0.6451,,,15,,,32598,,,,,"Not available or not separately reported",3004,,,237200,,,,,"Not available or not separately reported",23756,,
2021S01,"S1   2021",724,"Spain",01,"Passenger ships",,,"Not available or not separately reported",19,,,12497,,,,,"Not available or not separately reported",,,"Not available or not separately reported",228081,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021S01,"S1   2021",752,"Sweden",00,"All ships",0.7736,,,23,,,15910,,,8538,,,1581,,,214286,,,318227,,,19630,,
2021S01,"S1   2021",752,"Sweden",02,"Liquid bulk carriers",0.6528,,,15,,,8340,,,12565,,,,,"Not available or not separately reported",158536,,,318227,,,,,"Not available or not separately reported"
2021S01,"S1   2021",752,"Sweden",07,"Liquefied petroleum gas carriers",0.8076,,,15,,,7176,,,7933,,,,,"Not available or not separately reported",48542,,,54783,,,,,"Not available or not separately reported"
2021S01,"S1   2021",752,"Sweden",05,"Dry bulk carriers",0.4437,,,27,,,6156,,,9025,,,,,"Not available or not separately reported",44109,,,81914,,,,,"Not available or not separately reported"
2021S01,"S1   2021",752,"Sweden",04,"Dry breakbulk carriers",1.0222,,,21,,,3811,,,5375,,,,,"Not available or not separately reported",37499,,,55807,,,,,"Not available or not separately reported"
2021S01,"S1   2021",752,"Sweden",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",21,,,27086,,,10259,,,,,"Not available or not separately reported",76420,,,31143,,,,,"Not available or not separately reported"
2021S01,"S1   2021",752,"Sweden",03,"Container ships",0.6149,,,16,,,17076,,,,,"Not available or not separately reported",1581,,,214286,,,,,"Not available or not separately reported",19630,,
2021S01,"S1   2021",752,"Sweden",01,"Passenger ships",,,"Not available or not separately reported",26,,,20074,,,,,"Not available or not separately reported",,,"Not available or not separately reported",111554,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021S01,"S1   2021",792,"Türkiye",00,"All ships",1.1958,,,24,,,6440,,,16308,,,3023,,,194308,,,299498,,,19462,,
2021S01,"S1   2021",792,"Türkiye",02,"Liquid bulk carriers",1.192,,,14,,,18349,,,31413,,,,,"Not available or not separately reported",157814,,,299498,,,,,"Not available or not separately reported"
2021S01,"S1   2021",792,"Türkiye",07,"Liquefied petroleum gas carriers",1.234,,,19,,,16473,,,19036,,,,,"Not available or not separately reported",48714,,,54747,,,,,"Not available or not separately reported"
2021S01,"S1   2021",792,"Türkiye",08,"Liquefied natural gas carriers",1.2569,,,10,,,108899,,,86460,,,,,"Not available or not separately reported",126004,,,99025,,,,,"Not available or not separately reported"
2021S01,"S1   2021",792,"Türkiye",05,"Dry bulk carriers",3.7319,,,16,,,24840,,,42752,,,,,"Not available or not separately reported",106884,,,206125,,,,,"Not available or not separately reported"
2021S01,"S1   2021",792,"Türkiye",04,"Dry breakbulk carriers",1.4931,,,29,,,4150,,,5801,,,,,"Not available or not separately reported",43528,,,62053,,,,,"Not available or not separately reported"
2021S01,"S1   2021",792,"Türkiye",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",24,,,27593,,,10564,,,,,"Not available or not separately reported",76420,,,45200,,,,,"Not available or not separately reported"
2021S01,"S1   2021",792,"Türkiye",03,"Container ships",0.6236,,,17,,,33255,,,,,"Not available or not separately reported",3023,,,194308,,,,,"Not available or not separately reported",19462,,
2021S01,"S1   2021",792,"Türkiye",01,"Passenger ships",,,"Not available or not separately reported",25,,,1636,,,,,"Not available or not separately reported",,,"Not available or not separately reported",153516,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021S01,"S1   2021",926,"United Kingdom",00,"All ships",1.1625,,,18,,,14350,,,11973,,,3162,,,236583,,,321300,,,23964,,
2021S01,"S1   2021",926,"United Kingdom",02,"Liquid bulk carriers",1.0514,,,15,,,11989,,,20001,,,,,"Not available or not separately reported",164364,,,321300,,,,,"Not available or not separately reported"
2021S01,"S1   2021",926,"United Kingdom",07,"Liquefied petroleum gas carriers",1.0556,,,12,,,6508,,,6973,,,,,"Not available or not separately reported",47072,,,54517,,,,,"Not available or not separately reported"
2021S01,"S1   2021",926,"United Kingdom",08,"Liquefied natural gas carriers",1.2271,,,7,,,112943,,,90889,,,,,"Not available or not separately reported",168189,,,155159,,,,,"Not available or not separately reported"
2021S01,"S1   2021",926,"United Kingdom",05,"Dry bulk carriers",2.9014,,,14,,,25803,,,44135,,,,,"Not available or not separately reported",94942,,,182983,,,,,"Not available or not separately reported"
2021S01,"S1   2021",926,"United Kingdom",04,"Dry breakbulk carriers",1.525,,,20,,,3378,,,4698,,,,,"Not available or not separately reported",40250,,,62045,,,,,"Not available or not separately reported"
2021S01,"S1   2021",926,"United Kingdom",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",14,,,25200,,,9849,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2021S01,"S1   2021",926,"United Kingdom",03,"Container ships",0.8035,,,16,,,34429,,,,,"Not available or not separately reported",3162,,,236583,,,,,"Not available or not separately reported",23964,,
2021S01,"S1   2021",926,"United Kingdom",01,"Passenger ships",,,"Not available or not separately reported",19,,,12953,,,,,"Not available or not separately reported",,,"Not available or not separately reported",169116,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021S01,"S1   2021",842,"United States of America",00,"All ships",1.5639,,,26,,,15219,,,47527,,,5503,,,228741,,,322829,,,21237,,
2021S01,"S1   2021",842,"United States of America",02,"Liquid bulk carriers",1.5684,,,11,,,34405,,,59428,,,,,"Not available or not separately reported",170611,,,322829,,,,,"Not available or not separately reported"
2021S01,"S1   2021",842,"United States of America",07,"Liquefied petroleum gas carriers",1.8507,,,9,,,30401,,,34551,,,,,"Not available or not separately reported",61000,,,63766,,,,,"Not available or not separately reported"
2021S01,"S1   2021",842,"United States of America",08,"Liquefied natural gas carriers",1.2844,,,6,,,104753,,,83610,,,,,"Not available or not separately reported",149367,,,121823,,,,,"Not available or not separately reported"
2021S01,"S1   2021",842,"United States of America",05,"Dry bulk carriers",2.3632,,,17,,,30489,,,54317,,,,,"Not available or not separately reported",108237,,,207964,,,,,"Not available or not separately reported"
2021S01,"S1   2021",842,"United States of America",04,"Dry breakbulk carriers",2.0076,,,17,,,12587,,,17527,,,,,"Not available or not separately reported",91784,,,116173,,,,,"Not available or not separately reported"
2021S01,"S1   2021",842,"United States of America",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",14,,,58991,,,21532,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2021S01,"S1   2021",842,"United States of America",03,"Container ships",1.2069,,,15,,,61561,,,,,"Not available or not separately reported",5503,,,228741,,,,,"Not available or not separately reported",21237,,
2021S01,"S1   2021",842,"United States of America",01,"Passenger ships",,,"Not available or not separately reported",30,,,5096,,,,,"Not available or not separately reported",,,"Not available or not separately reported",228081,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021S02,"S2   2021",0000,"World",00,"All ships",1.0507,,,18,,,13802,,,25085,,,3403,,,236583,,,404389,,,23992,,
2021S02,"S2   2021",0000,"World",02,"Liquid bulk carriers",0.9771,,,14,,,15783,,,27327,,,,,"Not available or not separately reported",170618,,,323183,,,,,"Not available or not separately reported"
2021S02,"S2   2021",0000,"World",07,"Liquefied petroleum gas carriers",1.0229,,,15,,,10456,,,11699,,,,,"Not available or not separately reported",60784,,,64220,,,,,"Not available or not separately reported"
2021S02,"S2   2021",0000,"World",08,"Liquefied natural gas carriers",1.1313,,,11,,,95521,,,74821,,,,,"Not available or not separately reported",168189,,,155159,,,,,"Not available or not separately reported"
2021S02,"S2   2021",0000,"World",05,"Dry bulk carriers",2.0826,,,14,,,32001,,,57292,,,,,"Not available or not separately reported",204014,,,404389,,,,,"Not available or not separately reported"
2021S02,"S2   2021",0000,"World",04,"Dry breakbulk carriers",1.1583,,,21,,,5413,,,7344,,,,,"Not available or not separately reported",91649,,,103652,,,,,"Not available or not separately reported"
2021S02,"S2   2021",0000,"World",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",17,,,25871,,,10300,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2021S02,"S2   2021",0000,"World",03,"Container ships",0.8306,,,14,,,36894,,,,,"Not available or not separately reported",3403,,,236583,,,,,"Not available or not separately reported",23992,,
2021S02,"S2   2021",0000,"World",01,"Passenger ships",,,"Not available or not separately reported",20,,,7634,,,,,"Not available or not separately reported",,,"Not available or not separately reported",228199,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021S02,"S2   2021",036,"Australia",00,"All ships",1.5646,,,19,,,29921,,,82270,,,4550,,,152305,,,297633,,,9572,,
2021S02,"S2   2021",036,"Australia",02,"Liquid bulk carriers",1.3135,,,8,,,23317,,,39329,,,,,"Not available or not separately reported",84127,,,158734,,,,,"Not available or not separately reported"
2021S02,"S2   2021",036,"Australia",07,"Liquefied petroleum gas carriers",0.8778,,,10,,,14534,,,16510,,,,,"Not available or not separately reported",51035,,,58757,,,,,"Not available or not separately reported"
2021S02,"S2   2021",036,"Australia",08,"Liquefied natural gas carriers",1.2674,,,9,,,112308,,,85869,,,,,"Not available or not separately reported",149367,,,97975,,,,,"Not available or not separately reported"
2021S02,"S2   2021",036,"Australia",05,"Dry bulk carriers",1.6417,,,10,,,59397,,,111098,,,,,"Not available or not separately reported",152305,,,297633,,,,,"Not available or not separately reported"
2021S02,"S2   2021",036,"Australia",04,"Dry breakbulk carriers",1.9854,,,11,,,17200,,,26692,,,,,"Not available or not separately reported",91649,,,103652,,,,,"Not available or not separately reported"
2021S02,"S2   2021",036,"Australia",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",10,,,43589,,,15922,,,,,"Not available or not separately reported",76420,,,48988,,,,,"Not available or not separately reported"
2021S02,"S2   2021",036,"Australia",03,"Container ships",1.6972,,,14,,,50792,,,,,"Not available or not separately reported",4550,,,109712,,,,,"Not available or not separately reported",9572,,
2021S02,"S2   2021",036,"Australia",01,"Passenger ships",,,"Not available or not separately reported",30,,,2427,,,,,"Not available or not separately reported",,,"Not available or not separately reported",29338,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021S02,"S2   2021",124,"Canada",00,"All ships",0.5889,,,26,,,10917,,,34052,,,4837,,,176546,,,296681,,,16000,,
2021S02,"S2   2021",124,"Canada",02,"Liquid bulk carriers",1.0264,,,12,,,22905,,,38100,,,,,"Not available or not separately reported",157316,,,296681,,,,,"Not available or not separately reported"
2021S02,"S2   2021",124,"Canada",07,"Liquefied petroleum gas carriers",1.4889,,,7,,,45847,,,52363,,,,,"Not available or not separately reported",48963,,,55209,,,,,"Not available or not separately reported"
2021S02,"S2   2021",124,"Canada",05,"Dry bulk carriers",0.1885,,,23,,,26554,,,45361,,,,,"Not available or not separately reported",109824,,,210733,,,,,"Not available or not separately reported"
2021S02,"S2   2021",124,"Canada",04,"Dry breakbulk carriers",0.6667,,,13,,,11630,,,16419,,,,,"Not available or not separately reported",46647,,,72562,,,,,"Not available or not separately reported"
2021S02,"S2   2021",124,"Canada",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",24,,,10055,,,5548,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2021S02,"S2   2021",124,"Canada",03,"Container ships",1.7677,,,15,,,53415,,,,,"Not available or not separately reported",4837,,,176546,,,,,"Not available or not separately reported",16000,,
2021S02,"S2   2021",124,"Canada",01,"Passenger ships",,,"Not available or not separately reported",28,,,6403,,,,,"Not available or not separately reported",,,"Not available or not separately reported",30285,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021S02,"S2   2021",156,"China",00,"All ships",1.1681,,,13,,,31131,,,45467,,,4431,,,236583,,,404389,,,23992,,
2021S02,"S2   2021",156,"China",02,"Liquid bulk carriers",1.1257,,,12,,,18945,,,32897,,,,,"Not available or not separately reported",170618,,,323183,,,,,"Not available or not separately reported"
2021S02,"S2   2021",156,"China",07,"Liquefied petroleum gas carriers",1.0472,,,14,,,9344,,,10166,,,,,"Not available or not separately reported",60784,,,64220,,,,,"Not available or not separately reported"
2021S02,"S2   2021",156,"China",08,"Liquefied natural gas carriers",1.1965,,,9,,,98267,,,78373,,,,,"Not available or not separately reported",168189,,,155159,,,,,"Not available or not separately reported"
2021S02,"S2   2021",156,"China",05,"Dry bulk carriers",2.066,,,14,,,41215,,,75108,,,,,"Not available or not separately reported",203997,,,404389,,,,,"Not available or not separately reported"
2021S02,"S2   2021",156,"China",04,"Dry breakbulk carriers",1.5639,,,17,,,10304,,,14471,,,,,"Not available or not separately reported",91649,,,103652,,,,,"Not available or not separately reported"
2021S02,"S2   2021",156,"China",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",12,,,31129,,,10989,,,,,"Not available or not separately reported",76420,,,43878,,,,,"Not available or not separately reported"
2021S02,"S2   2021",156,"China",03,"Container ships",0.7799,,,13,,,47583,,,,,"Not available or not separately reported",4431,,,236583,,,,,"Not available or not separately reported",23992,,
2021S02,"S2   2021",156,"China",01,"Passenger ships",,,"Not available or not separately reported",14,,,14324,,,,,"Not available or not separately reported",,,"Not available or not separately reported",77499,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2021S02,"S2   2021",191,"Croatia",00,"All ships",1.1986,,,17,,,3690,,,16629,,,3804,,,163922,,,159855,,,15226,,
2021S02,"S2   2021",191,"Croatia",02,"Liquid bulk carriers",0.9427,,,15,,,14541,,,24819,,,,,"Not available or not separately reported",83669,,,159855,,,,,"Not available or not separately reported"
2021S02,"S2   2021",191,"Croatia",08,"Liquefied natural gas carriers",1.5611,,,8,,,118462,,,95783,,,,,"Not available or not separately reported",163922,,,130441,,,,,"Not available or not separately reported"
2021S02,"S2   2021",191,"Croatia",05,"Dry bulk carriers",2.5451,,,29,,,12156,,,20642,,,,,"Not available or not separately reported",70933,,,120499,,,,,"Not available or not separately reported"
2021S02,"S2   2021",191,"Croatia",04,"Dry breakbulk carriers",2.2302,,,23,,,4442,,,6101,,,,,"Not available or not separately reported",31021,,,88272,,,,,"Not available or not separately reported"
2021S02,"S2   2021",191,"Croatia",03,"Container ships",0.6361,,,14,,,40462,,,,,"Not available or not separately reported",3804,,,153744,,,,,"Not available or not separately reported",15226,,
